,Metro station,lon,lat,Number of floors,type,Number of rooms,id,Area,floor,Price
121,Авиамоторная,37.700137,55.752379,23,monolith,2.0,301218049,68.0,15,32000000.0
122,Авиамоторная,37.6895080934,55.752530851,27,monolith,3.0,300357607,93.1,26,41652940.0
123,Авиамоторная,37.716279,55.748544,14,panel,2.0,301349952,39.0,6,13700000.0
124,Авиамоторная,37.6895080934103,55.7525308509895,27,monolith,3.0,300357601,90.7,25,45168600.0
125,Авиамоторная,37.714815,55.77,14,block,2.0,300425078,45.0,13,15200000.0
126,Авиамоторная,37.6996415463688,55.752890650257,25,monolith,2.0,300357669,65.6,23,27401120.0
127,Авиамоторная,37.716144,55.751817,12,brick,2.0,295914745,47.3,2,14800000.0
128,Авиамоторная,37.74247144704973,55.73664791216401,11,monolith,3.0,299579294,67.4,10,23692952.0
129,Авиамоторная,37.701771,55.758144,17,panel,2.0,301186527,53.6,8,18200000.0
130,Авиамоторная,37.6996415463688,55.752890650257,25,monolith,3.0,300357767,76.9,15,30544680.0
131,Авиамоторная,37.710171,55.753955,9,monolith,2.0,292636666,59.7,6,17800000.0
132,Авиамоторная,37.7432761098,55.7368537206,37,monolith,3.0,296502809,84.2,35,33461315.0
133,Авиамоторная,37.720465,55.743421,16,panel,2.0,300667686,53.0,10,17550000.0
134,Авиамоторная,37.6910374791,55.7529277318,27,monolith,2.0,300357870,71.5,5,30880850.0
135,Авиамоторная,37.715516,55.750013,5,brick,2.0,299610374,43.6,3,14800000.0
136,Авиамоторная,37.7438554669,55.7368900392,9,monolith,3.0,298187780,66.1,3,23205492.0
137,Авиамоторная,37.702319,55.745301,14,brick,3.0,298804159,88.0,7,19700000.0
138,Авиамоторная,37.6910374791,55.7529277318,27,monolith,2.0,300357917,56.7,5,24182550.0
139,Авиамоторная,37.717923,55.749339,6,monolith,2.0,300118984,69.0,1,16990000.0
140,Авиамоторная,37.6910374790608,55.7529277317889,26,monolith,3.0,300357902,102.6,17,44579700.0
141,Авиамоторная,37.692115,55.761315,12,panel,2.0,300482674,45.0,6,17000000.0
142,Авиамоторная,37.6904011293,55.7516227366,26,monolith,2.0,300357997,66.6,25,30582720.0
143,Авиамоторная,37.694037,55.759932,5,brick,3.0,301254125,76.5,2,24950000.0
144,Авиамоторная,37.7417848015,55.7365994864,45,monolith,2.0,296503304,49.9,22,18579964.0
145,Авиамоторная,37.719378,55.75094,12,brick,2.0,295856104,55.4,9,17800000.0
146,Авиамоторная,37.6895080934103,55.7525308509895,27,monolith,2.0,300357622,62.4,12,26881920.0
147,Авиамоторная,37.720465,55.743421,16,panel,2.0,300874697,52.0,14,18000000.0
148,Авиамоторная,37.6996415464,55.7528906503,25,monolith,2.0,300357723,58.7,9,24248970.0
149,Авиамоторная,37.71495,55.751568,8,stalin,3.0,285759913,77.3,8,18900000.0
150,Авиамоторная,37.7417848015,55.7365994864,45,monolith,2.0,296503167,45.9,3,17403578.0
151,Авиамоторная,37.715381,55.750849,9,brick,3.0,301323702,88.0,8,29000000.0
152,Авиамоторная,37.690401129255,55.7516227365684,26,monolith,2.0,300358055,66.2,19,25672360.0
153,Авиамоторная,37.697729,55.758139,9,brick,2.0,299145278,52.0,6,18500000.0
154,Авиамоторная,37.6910374790608,55.7529277317889,26,monolith,3.0,300357856,85.3,5,33121990.0
155,Авиамоторная,37.70443,55.746289,14,brick,2.0,298243766,53.0,14,17500000.0
156,Авиамоторная,37.6910374790608,55.7529277317889,27,monolith,3.0,300357915,87.3,18,36220770.0
157,Авиамоторная,37.705958,55.755636,26,monolithBrick,2.0,301385327,41.4,21,18000000.0
158,Авиамоторная,37.74178480154192,55.73659948644136,45,monolith,2.0,296502924,37.1,38,15431150.0
159,Авиамоторная,37.705437,55.74489,9,panel,3.0,295926923,57.7,8,17800000.0
160,Авиамоторная,37.6904011293,55.7516227366,25,monolith,2.0,300358019,61.1,12,28173210.0
161,Авиамоторная,37.697729,55.758139,7,brick,2.0,295000522,57.0,7,18290000.0
162,Авиамоторная,37.7417848015,55.7365994864,45,monolith,2.0,296621372,56.6,21,19828139.0
163,Авиамоторная,37.706973,55.75323,23,monolith,2.0,300028084,47.6,21,20500000.0
164,Авиамоторная,37.7438554669,55.7368900392,9,monolith,2.0,298187789,54.4,6,20701528.0
165,Авиамоторная,37.699741,55.749714,28,monolith,3.0,299725947,75.0,17,27800000.0
166,Авиамоторная,37.687866,55.749167,14,monolith,2.0,300165814,68.5,14,42849350.0
167,Авиамоторная,37.703775,55.751447,29,monolith,3.0,299619257,79.0,3,38300000.0
168,Автозаводская,37.69878838363463,55.70481629827159,13,monolith,1.0,296357255,28.7,8,10560107.0
169,Автозаводская,37.651583,55.701262,24,monolith,1.0,301408225,42.7,22,20500000.0
170,Автозаводская,37.6375816972184,55.6975455575801,28,monolithBrick,1.0,301288780,40.6,8,17204980.0
171,Автозаводская,37.6306057499,55.6990489785,15,monolith,1.0,295991044,35.4,13,17699000.0
172,Автозаводская,37.6351179672961,55.7064860931808,16,monolithBrick,1.0,301268271,38.19,2,15805007.0
173,Автозаводская,37.656586,55.69042,17,monolith,4.0,294661892,100.0,17,54000000.0
174,Автозаводская,37.6322310359675,55.7059794529357,20,monolith,1.0,300350570,38.93,8,21446537.0
175,Автозаводская,37.6608856549,55.6910987751,14,monolith,1.0,298484253,38.8,3,16500000.0
176,Автозаводская,37.69780133071731,55.70505256621495,23,monolith,0.0,296357368,19.2,12,8504005.0
177,Автозаводская,37.634802,55.706634,20,monolith,0.0,300789686,22.52,3,9500000.0
178,Автозаводская,37.6375816972184,55.6975455575801,28,monolithBrick,0.0,301288886,20.8,15,11603779.0
