floor,count_floors,rooms,square,district,price
7,20,3,93.0,12,93200000
11,21,3,104.55,12,108800000
9,21,3,108.0,12,118300000
2,13,3,121.0,12,56200000
17,21,3,119.7,12,93100000
45,85,3,163.0,12,115100000
5,21,3,116.78,12,115000000
5,20,3,116.7,12,120800000
11,21,3,104.55,12,108800000
3,21,3,92.2,12,101000000
6,21,3,85.7,12,91500000
3,44,3,65.6,12,42500000
9,21,3,116.8,12,120900000
3,5,3,110.0,12,110300000
35,73,3,186.0,12,128200000
4,6,3,143.7,12,167900000
4,6,3,145.0,12,184500000
9,21,3,108.0,12,115300000
53,73,3,239.0,12,164700000
9,12,3,104.0,12,77000000
63,68,3,101.9,12,85700000
3,21,3,92.12,12,98400000
2,7,3,131.0,12,139500000
45,78,3,123.0,12,105700000
61,65,3,97.0,12,81600000
4,12,3,100.0,12,71000000
35,73,3,183.0,12,126100000
17,21,3,120.0,12,128200000
11,21,3,90.0,12,98600000
4,12,3,100.0,12,71000000
3,4,3,98.5,12,37700000
17,21,3,72.8,12,72400000
2,21,3,120.0,12,127800000
4,13,3,149.9,12,126900000
3,13,3,150.0,12,120700000
5,7,3,73.4,12,54400000
4,6,3,145.0,12,184500000
17,21,3,75.0,12,64300000
30,66,3,118.7,12,106800000
4,6,3,143.7,12,182900000
33,65,3,190.0,12,130900000
69,95,3,130.0,12,97300000
52,78,3,116.0,12,99700000
38,78,3,120.0,12,103100000
43,78,3,122.0,12,104800000
49,78,3,124.0,12,106500000
44,78,3,125.0,12,107400000
42,78,3,135.0,12,116000000
68,78,3,140.0,12,120300000
22,32,3,84.0,12,41300000
3,5,3,110.0,12,97300000
22,65,3,191.6,12,132000000
53,76,3,239.0,12,164700000
41,78,3,92.0,12,79100000
28,78,3,96.0,12,82500000
18,78,3,100.0,12,85900000
29,78,3,100.0,12,85900000
32,78,3,126.0,12,108300000
49,78,3,124.0,12,106500000
9,18,3,124.0,12,64000000
9,21,3,108.0,12,118300000
5,5,3,60.0,12,37400000
38,51,3,66.9,12,30700000
24,44,3,69.0,12,41100000
9,18,3,123.0,12,58300000
7,21,3,86.0,12,65500000
16,18,3,90.0,12,70600000
5,5,3,151.0,12,102200000
3,5,3,111.0,12,98200000
1,4,3,109.7,12,129700000
3,4,3,112.6,12,143800000
11,12,3,254.0,12,274600000
1,12,3,64.5,12,20600000
13,14,3,73.0,12,29000000
20,53,3,83.9,12,44900000
2,6,3,110.5,12,84800000
2,21,3,115.0,12,115400000
26,75,3,185.0,12,127500000
53,75,3,224.0,12,154400000
4,7,3,131.4,12,84700000
7,20,3,93.0,12,93200000
11,21,3,104.55,12,108800000
9,21,3,108.0,12,118300000
2,13,3,121.0,12,56200000
17,21,3,119.7,12,93100000
45,85,3,163.0,12,115100000
5,21,3,116.78,12,115000000
